Price,Close,High,Low,Open,Volume
Ticker,UNTR.JK,UNTR.JK,UNTR.JK,UNTR.JK,UNTR.JK
Date,,,,,
2025-07-01,21475.0,21500.0,21175.0,21275.0,3875500
2025-07-02,21300.0,21625.0,21225.0,21475.0,3927300
2025-07-03,21500.0,21550.0,21325.0,21500.0,1664100
2025-07-04,21550.0,21550.0,21375.0,21500.0,1945200
2025-07-07,21450.0,21550.0,21225.0,21550.0,1941800
2025-07-08,21600.0,21600.0,21400.0,21450.0,2482100
2025-07-09,21975.0,21975.0,21600.0,21600.0,2693500
2025-07-10,22200.0,22250.0,21850.0,21975.0,4626400
2025-07-11,22400.0,22400.0,22225.0,22300.0,3363700
2025-07-14,22575.0,22600.0,22250.0,22400.0,4771000
2025-07-15,22600.0,22600.0,22450.0,22600.0,2514400
2025-07-16,22575.0,22625.0,22375.0,22600.0,2967400
2025-07-17,22600.0,22600.0,22400.0,22600.0,2291500
2025-07-18,22475.0,22775.0,22475.0,22625.0,2968600
2025-07-21,22950.0,22950.0,22475.0,22675.0,3346100
2025-07-22,23050.0,23150.0,22925.0,22975.0,4614300
2025-07-23,24000.0,24000.0,23100.0,23175.0,10111100
2025-07-24,24225.0,24325.0,23875.0,24150.0,4356300
2025-07-25,23850.0,24225.0,23725.0,24225.0,2563800
2025-07-28,24175.0,24300.0,23950.0,24250.0,3839800
2025-07-29,24150.0,24300.0,23975.0,24300.0,2656100
2025-07-30,24375.0,24400.0,24150.0,24200.0,3178000
