feature,importance
High,75.2695632383516
Low,60.59056054809232
Open,58.43208781955962
Close,56.150132052405745
Close_Lag_1,54.613904312800734
Year,51.97821649457928
Close_Lag_2,50.02814311600635
EMA_12,46.9619084419185
EMA_26,45.73645875873227
SMA_5,43.65796734288933
Close_Lag_3,42.37926404787762
BB_Upper,36.808097952393084
Close_Rolling_Mean_20,30.988055272381196
BB_Middle,30.988055272379693
SMA_20,30.988055272378084
Price_vs_SMA50,30.18879317726948
SMA_200,30.14812337141643
BB_Position,28.058471381087777
BB_Lower,23.884417756017907
MACD_Histogram,23.374719684585443
SMA_50,16.75569493569466
Quarter,16.204020402928396
True_Range,16.010267513710264
Return_Lag_1,15.170319991646453
Daily_Return,13.772992008634436
Price_Change_Pct_1D,13.772992008632919
ATR,11.95050779364755
Price_Momentum_5D,11.682360760295335
MACD,10.909689662462059
Volatility_20D,10.19151663736772
Volume_vs_MA,9.149010914174548
Month,8.669618042394431
Close_Rolling_Std_20,8.398950409537502
Log_Return,8.245336860063233
Price_vs_SMA20,7.457881651929751
Return_Lag_2,7.244372107294986
Volume,6.856232836174544
Volume_Rolling_Mean_20,4.976561311792217
MACD_Signal,3.641335801185568
Overnight_Return,2.868283872764888
Volume_Lag_1,2.10899636693852
RSI,0.8647868927246182
Intraday_Return,0.7966129235144044
DayOfWeek,0.6043538918920266
Volume_Momentum_3D,0.44086763605643486
Price_Change_1D,0.057887257972369655
